wMVRVRTlQUT09&locationName=_____________________)
K14LKX,NJ,PAS,8751510479,11/01/2019,04:42P,NO STANDING-BUS STOP,02/20/2020,115.00,60.00,0.26,0.17,175.09,0.00,079,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMVVWWGhOUkZFelQxRTlQUT09&locationName=_____________________)
HJY3839,NY,PAS,8771919363,01/21/2020,11:40A,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,35.00,0.00,0.00,062,K,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wMVVhM2hQVkUweVRYYzlQUT09&locationName=_____________________)
67526MB,NY,COM,8751510376,11/01/2019,03:52P,REG. STICKER-EXPIRED/MISSING,,65.00,0.00,0.00,0.00,65.00,0.00,079,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMVVWWGhOUkUwelRtYzlQUT09&locationName=_____________________)
ERJ6208,NY,PAS,8751511368,11/07/2019,03:46P,FAIL TO DSPLY MUNI METER RECPT,,35.00,0.00,0.00,0.00,35.00,0.00,094,K,TRAFFIC,APPEAL AFFIRMED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMVVWWGhOVkUweVQwRTlQUT09&locationName=_____________________)
JGJ3781,NY,PAS,8771950450,08/15/2019,06:29A,INSP STICKER-MUTILATED/C'FEIT,12/05/2019,65.00,60.00,2.26,0.22,127.04,0.00,109,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak0wMVVhekZOUkZFeFRVRTlQUT09&locationName=_____________________)
HXR7183,NY,PAS,8751510923,11/05/2019,04:13P,NO STANDING-EXC. TRUCK LOADING,02/20/2020,95.00,60.00,0.51,0.04,155.47,0.00,094,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VMVVWWGhOUkd0NVRYYzlQUT09&locationName=_____________________)
GVK5295,NY,PAS,5600377149,07/30/2020,07:24A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,50.00,0.00,0.00,000,MN,DEPARTMENT OF TRANSPORTATION,APPEAL REVERSED,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMUVUVE5PZWtVd1QxRTlQUT09&locationName=_____________________)
KDL2175,NY,PAS,5600376960,07/29/2020,06:32P,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,0.00,50.00,000,MN,DEPARTMENT OF TRANSPORTATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMUVUVE5PYW1zeVRVRTlQUT09&locationName=_____________________)
GXF8799,NY,PAS,5600377162,07/30/2020,07:47A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,0.00,50.00,000,MN,DEPARTMENT OF TRANSPORTATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMUVUVE5PZWtVeVRXYzlQUT09&locationName=_____________________)
JCD9339,NY,OMS,5600377174,07/30/2020,07:47A,NO STANDING-SNOW EMERGENCY,,50.00,0.00,0.00,0.00,0.00,50.00,000,MN,DEPARTMENT OF TRANSPORTATION,HEARING PENDING,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSWmQwMUVUVE5PZWtVelRrRTlQUT09&locationName=_____________________)
